Name,Symbol,Price,Market cap,24h change
Bitcoin,BTC,"99,461.79",$ 1.97T,+1.06%
Ethereum,ETH,"4,002.53",$ 482.13B,+3.27%
XRP,XRP,2.46,$ 140.7B,+7.12%
Tether USD,USDT,1.00,$ 137.8B,+0.30%
Solana,SOL,238.43,$ 113.49B,+1.93%
BNB,BNB,746.00,$ 112.18B,+4.32%
Dogecoin,DOGE,0.448,$ 65.83B,+4.99%
Cardano,ADA,1.21,$ 45.23B,+4.48%
USDC,USDC,0.999,$ 41.2B,+0.13%
Lido Staked Ether,stETH,"4,000.28",$ 38.17B,+3.40%
TRON,TRX,0.321,$ 27.81B,+2.87%
Avalanche,AVAX,51.97,$ 21.27B,+2.60%
Shiba Inu,SHIB,0.0000313,$ 18.45B,+4.59%
Toncoin,TON,6.87,$ 17.53B,+2.59%
Wrapped liquid staked Ether 2.0,wstETH,"4,753.13",$ 17.48B,+3.75%
Wrapped BTC,WBTC,"99,222.19",$ 16.06B,+1.18%
Uniswap,UNI,17.39,$ 15.91B,+6.34%
Polkadot,DOT,10.54,$ 15.85B,+11.67%
Chainlink,LINK,25.03,$ 15.69B,+7.91%
Wrapped Ether,WETH,"4,016.17",$ 13.66B,+5.10%
Hedera,HBAR,0.339,$ 12.96B,+20.27%
Sui Network,SUI,4.34,$ 12.7B,+3.96%
Bitcoin Cash,BCH,616.08,$ 11.79B,+3.34%
Litecoin,LTC,137.84,$ 10.37B,+4.20%
Stellar,XLM,0.491,$ 9.91B,+5.72%
NEAR Protocol,NEAR,7.81,$ 9.51B,+4.92%
PEPE,PEPE,0.0000222,$ 9.35B,+7.19%
Aptos,APT,14.96,$ 8.02B,+6.36%
Wrapped eETH,weETH,"4,222.21",$ 7.82B,+3.88%
Internet Computer (DFINITY),ICP,15.07,$ 7.16B,+4.52%
Fetch.AI,FET,2.10,$ 5.72B,+2.84%
Ethereum Classic,ETC,37.54,$ 5.62B,+7.58%
Polygon Ecosystem Token,POL,0.707,$ 5.62B,+4.68%
VeChain,VET,0.0681,$ 5.51B,+7.48%
Cronos,CRO,0.202,$ 5.48B,+1.26%
Dai,DAI,1.00,$ 5.35B,+0.09%
Render Token,RENDER,10.24,$ 5.3B,-0.88%
Bittensor,TAO,705.93,$ 5.21B,-1.99%
Binance-Peg BSC-USD,BSC-USD,1.00,$ 5.19B,+0.16%
Filecoin,FIL,7.95,$ 4.84B,+4.29%
ARBITRUM,ARB,1.17,$ 4.8B,+2.80%
Bitget Token,BGB,2.83,$ 4.58B,+18.77%
USDe,USDE,1.00,$ 4.44B,-0.00%
Kaspa,KAS,0.174,$ 4.4B,+6.81%
