Name,Symbol,Price,Market cap,24h change
Bitcoin,BTC,"100,273.80",$ 1.98T,+0.87%
Ethereum,ETH,"3,997.53",$ 481.53B,-0.02%
XRP,XRP,2.56,$ 145.98B,+4.29%
Tether USD,USDT,1.00,$ 137.91B,-0.03%
Solana,SOL,237.08,$ 112.89B,-0.94%
BNB,BNB,743.13,$ 111.68B,-0.12%
Dogecoin,DOGE,0.464,$ 68.29B,+3.99%
Cardano,ADA,1.21,$ 45.42B,+0.55%
USDC,USDC,0.999,$ 41.06B,+0.03%
Lido Staked Ether,stETH,"3,993.18",$ 38.1B,-0.03%
TRON,TRX,0.315,$ 27.26B,-1.85%
Avalanche,AVAX,51.92,$ 21.26B,-0.48%
Shiba Inu,SHIB,0.0000323,$ 19.02B,+3.20%
Uniswap,UNI,19.13,$ 17.5B,+9.67%
Wrapped liquid staked Ether 2.0,wstETH,"4,742.85",$ 17.46B,-0.15%
Toncoin,TON,6.76,$ 17.24B,-1.94%
Chainlink,LINK,27.03,$ 16.95B,+7.74%
Polkadot,DOT,10.52,$ 15.84B,-0.91%
Wrapped BTC,WBTC,"99,975.46",$ 15.15B,+0.79%
Wrapped Ether,WETH,"3,965.93",$ 13.24B,-0.73%
Hedera,HBAR,0.331,$ 12.64B,-2.36%
Sui Network,SUI,4.22,$ 12.36B,-3.27%
Bitcoin Cash,BCH,622.34,$ 11.91B,+1.35%
PEPE,PEPE,0.0000253,$ 10.65B,+13.86%
Litecoin,LTC,134.66,$ 10.14B,-2.16%
Stellar,XLM,0.489,$ 9.88B,-0.40%
NEAR Protocol,NEAR,7.69,$ 9.37B,-1.99%
Aptos,APT,14.41,$ 7.72B,-3.30%
Wrapped eETH,weETH,"4,210.30",$ 7.55B,-0.12%
Internet Computer (DFINITY),ICP,14.50,$ 6.89B,-3.74%
Polygon Ecosystem Token,POL,0.704,$ 5.89B,-0.43%
Fetch.AI,FET,2.07,$ 5.64B,-1.43%
VeChain,VET,0.069,$ 5.59B,+0.80%
Ethereum Classic,ETC,36.88,$ 5.53B,-1.58%
Cronos,CRO,0.201,$ 5.45B,-0.53%
Binance-Peg BSC-USD,BSC-USD,1.04,$ 5.37B,+2.90%
Dai,DAI,1.00,$ 5.35B,+0.15%
Render Token,RENDER,10.29,$ 5.33B,+0.33%
USDe,USDE,1.00,$ 5.26B,+0.04%
Bittensor,TAO,697.40,$ 5.15B,-1.15%
Filecoin,FIL,7.83,$ 4.77B,-1.84%
ARBITRUM,ARB,1.16,$ 4.76B,-0.87%
Kaspa,KAS,0.184,$ 4.65B,+5.79%
Mantle,MNT,1.30,$ 4.36B,+8.64%
Bitget Token,BGB,2.66,$ 4.3B,-8.01%
Aave,AAVE,283.19,$ 4.29B,-0.55%
Algorand,ALGO,0.50,$ 4.15B,+2.81%
Immutable X,IMX,2.06,$ 4.12B,-1.04%
EnergySwap,ENS,40.41,$ 4.04B,-2.10%
Cosmos,ATOM,10.29,$ 4.02B,-0.28%
Name,Symbol,Price,Market cap,24h change
ONDO,ONDO,1.72,$ 4.01B,+0.52%
Stacks,STX,2.65,$ 3.98B,-1.29%
Mantra DAO,OM,4.14,$ 3.8B,+6.02%
Fantom,FTM,1.35,$ 3.78B,-0.60%
dogwifhat,WIF,3.73,$ 3.73B,+1.33%
Monero,XMR,200.85,$ 3.7B,+0.10%
WhiteBIT Coin,WBT,25.22,$ 3.65B,+0.50%
OKB,OKB,59.37,$ 3.56B,-0.40%
Baby Doge Coin,BABYDOGE,0.0₈432,$ 3.46B,+10.68%
Optimism,OP,2.67,$ 3.35B,-1.88%
Injective Protocol,INJ,33.12,$ 3.28B,-2.12%
The Graph,GRT,0.321,$ 3.07B,-3.01%
Theta Token,THETA,3.04,$ 3.04B,-0.77%
Worldcoin,WLD,3.75,$ 2.67B,-2.82%
First Digital USD,FDUSD,0.998,$ 2.6B,-0.01%
THORChain,RUNE,7.34,$ 2.5B,+1.63%
FLOKI,FLOKI,0.000256,$ 2.48B,-2.22%
The Sandbox,SAND,0.914,$ 2.42B,+0.94%
BRETT,BRETT,0.211,$ 2.09B,+1.05%
Morpho Token,MORPHO,2.11,$ 2.03B,-5.32%
EOS,EOS,1.32,$ 2B,-2.12%
Lido DAO Token,LDO,2.15,$ 1.93B,-1.67%
Maker,MKR,"2,161.83",$ 1.92B,-0.69%
Bonk,BONK,0.0000458,$ 1.9B,+1.34%
Aerodrome,AERO,2.20,$ 1.9B,-5.51%
Raydium,RAY,5.06,$ 1.89B,+2.32%
Kaia,KAIA,0.317,$ 1.87B,-2.29%
SEI,SEI,0.685,$ 1.83B,-1.18%
Flow,FLOW,1.16,$ 1.8B,+0.89%
Jupiter,JUP,1.33,$ 1.8B,-2.47%
Tezos,XTZ,1.76,$ 1.79B,-3.85%
BEAM,BEAM,0.0336,$ 1.75B,+1.07%
Arweave,AR,26.68,$ 1.75B,-5.28%
Virtual Protocol,VIRTUAL,1.74,$ 1.74B,+0.27%
Flare Network,FLR,0.0318,$ 1.74B,+0.77%
IOTA,IOTA,0.471,$ 1.66B,-2.02%
LayerZero,ZRO,6.60,$ 1.65B,-4.79%
GateToken,GT,13.03,$ 1.64B,+0.42%
Quant,QNT,167.55,$ 1.64B,+3.05%
Trust Wallet Token,TWT,1.52,$ 1.57B,-2.16%
Pendle,PENDLE,6.73,$ 1.53B,-2.16%
Bitcoin SV,BSV,79.58,$ 1.53B,-0.37%
NEO,NEO,21.43,$ 1.51B,-0.16%
Nexo,NEXO,1.50,$ 1.5B,-1.27%
MultiversX,EGLD,54.01,$ 1.5B,-0.82%
Curve DAO Token,CRV,1.20,$ 1.49B,+0.79%
BitTorrent-New,BTT,0.0₅157,$ 1.49B,+2.03%
POPCAT,POPCAT,1.51,$ 1.48B,+0.20%
